Date,HomeTeam,AwayTeam,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2021-12-22,Monaco,Rennes,H,11,16,3,6,11,9,7,5,2,1,0,0
2021-12-22,Montpellier,Angers,H,9,13,6,6,13,13,1,6,1,1,0,0
2021-12-22,Nice,Lens,H,9,8,3,4,7,9,5,4,0,2,0,0
2021-12-22,St Etienne,Nantes,A,13,8,6,3,13,12,5,4,1,1,0,0
2021-12-22,Troyes,Brest,D,15,8,4,2,16,10,9,0,4,1,1,0
2022-01-07,Bordeaux,Marseille,A,6,18,2,6,13,7,3,9,1,1,0,0
2022-01-08,Lens,Rennes,H,11,5,4,0,5,6,12,1,1,1,0,0
2022-01-09,Lyon,Paris SG,D,11,15,4,3,18,13,2,7,2,2,0,0
2022-01-09,Nantes,Monaco,D,8,9,4,1,17,12,5,2,1,2,0,0
2022-01-09,Clermont,Reims,D,12,7,7,2,13,24,6,2,1,3,1,0
2022-01-09,Metz,Strasbourg,A,7,19,1,7,11,6,4,3,1,1,0,0
2022-01-09,Brest,Nice,A,26,9,10,4,5,11,14,3,0,3,0,1
2022-01-14,Nice,Nantes,H,13,11,5,3,8,17,3,5,2,1,0,0
2022-01-15,St Etienne,Lens,A,13,14,4,4,9,13,6,6,1,1,0,0
2022-01-15,Paris SG,Brest,H,20,6,9,3,10,8,9,6,5,3,0,0
2022-01-16,Marseille,Lille,D,22,5,7,4,11,11,15,2,1,5,0,1
2022-01-16,Strasbourg,Montpellier,H,19,9,8,5,18,9,7,3,2,2,0,1
2022-01-16,Troyes,Lyon,A,6,19,2,8,9,12,4,7,2,1,0,0
2022-01-16,Monaco,Clermont,H,20,6,10,1,9,10,6,1,0,1,0,0
2022-01-16,Lorient,Angers,D,14,5,4,0,12,9,6,1,3,1,0,1
2022-01-16,Rennes,Bordeaux,H,19,5,11,1,9,9,9,1,1,5,0,1
2022-01-16,Reims,Metz,A,14,17,2,5,14,16,11,4,4,4,0,0
2022-01-19,Clermont,Strasbourg,A,7,15,1,5,8,11,6,4,2,0,0,0
2022-01-19,Lille,Lorient,H,13,18,5,5,8,11,4,2,0,0,0,0
2022-01-19,Montpellier,Troyes,A,11,13,2,5,12,10,5,4,5,1,1,0
2022-01-21,Lyon,St Etienne,H,11,4,4,1,15,17,2,2,1,4,0,0
2022-01-22,Brest,Lille,H,9,17,3,5,7,10,5,10,2,3,0,0
2022-01-22,Lens,Marseille,A,9,10,3,7,7,6,8,5,3,2,0,0
2022-01-23,Paris SG,Reims,H,22,7,8,3,6,10,14,0,0,1,0,0
2022-01-23,Nantes,Lorient,H,12,15,8,6,12,10,7,6,3,0,0,0
2022-01-23,Montpellier,Monaco,H,15,17,7,7,10,10,5,10,2,2,0,0
2022-01-23,Bordeaux,Strasbourg,H,13,18,6,6,11,11,1,3,5,2,0,0
2022-01-23,Metz,Nice,A,8,7,1,6,14,6,3,4,3,1,0,0
2022-01-23,Clermont,Rennes,H,12,13,4,4,9,17,4,6,2,3,0,0
2022-01-23,Angers,Troyes,H,10,11,3,6,16,21,3,3,1,3,0,0
2022-01-26,Angers,St Etienne,A,7,8,4,5,7,13,3,1,1,1,0,0
2022-02-01,Lyon,Marseille,H,12,9,4,1,8,8,4,6,0,0,0,0
2022-02-04,Marseille,Angers,H,18,4,8,2,13,13,6,2,0,3,0,0
2022-02-05,St Etienne,Montpellier,H,27,3,8,2,11,4,11,0,1,0,0,0
2022-02-05,Monaco,Lyon,H,10,19,6,5,17,14,3,4,1,2,0,0
2022-02-06,Lorient,Lens,H,8,8,3,0,14,11,1,4,0,3,0,0
2022-02-06,Nice,Clermont,A,7,14,3,5,10,9,5,3,1,1,0,0
2022-02-06,Reims,Bordeaux,H,16,6,7,0,5,12,7,4,0,1,0,1
2022-02-06,Troyes,Metz,D,9,6,2,0,8,14,6,7,1,2,0,0
2022-02-06,Rennes,Brest,H,19,5,8,1,11,8,6,1,3,1,0,0
2022-02-06,Lille,Paris SG,A,10,18,5,7,19,9,4,3,2,1,0,0
2022-02-06,Strasbourg,Nantes,H,13,10,3,2,7,8,7,9,3,3,0,0
2022-02-11,Paris SG,Rennes,H,12,13,1,1,13,10,5,3,2,1,0,0
2022-02-12,Montpellier,Lille,A,16,16,5,7,13,15,6,4,3,4,0,0
2022-02-12,Lyon,Nice,H,12,1,8,1,11,9,4,1,0,1,0,0
2022-02-13,Metz,Marseille,A,11,13,4,5,11,6,3,8,2,2,0,0
2022-02-13,Lens,Bordeaux,H,9,10,7,4,9,7,6,2,3,2,0,0
2022-02-13,Nantes,Reims,H,11,7,3,4,17,8,5,5,1,0,0,1
2022-02-13,Brest,Troyes,H,12,5,5,2,13,11,1,5,1,1,0,0
2022-02-13,Angers,Strasbourg,A,9,8,2,2,20,11,5,3,3,1,0,0
2022-02-13,Clermont,St Etienne,A,9,6,3,3,16,10,6,3,4,1,0,0
2022-02-13,Monaco,Lorient,D,15,5,4,1,18,11,11,2,3,2,0,0
2022-02-18,Lille,Metz,D,13,7,1,0,10,13,11,1,4,4,1,1
2022-02-19,Lens,Lyon,D,12,10,6,2,8,10,4,4,0,2,0,0
2022-02-19,Nantes,Paris SG,H,13,16,7,9,16,10,5,7,2,6,0,0
2022-02-20,Marseille,Clermont,A,18,4,4,3,11,9,8,3,2,2,0,0
2022-02-20,Rennes,Troyes,H,17,4,8,1,11,16,6,7,1,4,0,0
2022-02-20,Bordeaux,Monaco,D,11,13,3,4,13,13,2,7,3,4,0,1
2022-02-20,Nice,Angers,H,9,11,5,2,11,17,4,5,2,2,0,0
2022-02-20,Lorient,Montpellier,A,16,6,3,5,15,9,8,5,2,2,0,0
2022-02-20,Reims,Brest,D,8,15,2,4,10,17,1,6,1,2,0,0
2022-02-20,St Etienne,Strasbourg,D,9,8,4,4,12,5,3,4,3,2,0,0
2022-02-25,Montpellier,Rennes,A,12,11,5,9,11,11,7,1,3,2,0,0
2022-02-26,Strasbourg,Nice,D,17,3,6,0,9,12,8,2,1,2,0,1
2022-02-26,Paris SG,St Etienne,H,21,13,8,6,9,13,8,3,2,1,0,0
2022-02-27,Metz,Nantes,D,8,12,0,3,14,15,3,4,1,2,1,0
2022-02-27,Brest,Lorient,A,4,17,0,8,12,15,4,6,2,4,1,0
2022-02-27,Clermont,Bordeaux,D,9,10,3,3,5,13,6,6,1,2,0,0
2022-02-27,Troyes,Marseille,D,9,8,3,3,15,8,4,8,5,3,0,0
2022-02-27,Lyon,Lille,A,20,6,8,2,13,15,7,3,3,2,0,0
2022-02-27,Monaco,Reims,A,18,12,5,7,15,12,10,3,3,2,1,0
2022-02-27,Angers,Lens,A,13,8,4,2,13,16,7,3,4,3,1,0
2022-03-04,Lorient,Lyon,A,15,15,6,7,9,14,8,3,1,0,0,0
2022-03-05,Lens,Brest,A,20,5,6,3,14,11,4,0,1,1,0,0
2022-03-05,Nice,Paris SG,H,11,8,6,2,15,10,3,4,1,0,0,0
2022-03-06,Marseille,Monaco,A,13,5,2,3,13,9,10,3,2,1,0,0
2022-03-06,Lille,Clermont,H,15,9,8,1,15,9,3,2,1,3,0,1
2022-03-06,Rennes,Angers,H,15,7,4,2,11,7,7,7,1,1,0,0
2022-03-06,St Etienne,Metz,H,13,5,5,2,11,18,12,3,3,4,0,0
2022-03-06,Bordeaux,Troyes,A,10,10,3,2,18,15,6,2,6,1,0,1
2022-03-06,Nantes,Montpellier,H,16,6,5,1,11,11,6,4,1,1,0,0
2022-03-06,Reims,Strasbourg,D,8,17,1,6,6,11,2,4,0,2,0,0
2022-03-11,Lille,St Etienne,D,10,11,2,3,14,12,2,3,1,1,0,0
2022-03-12,Montpellier,Nice,D,24,8,7,0,10,8,13,1,3,2,0,1
2022-03-12,Troyes,Nantes,H,11,6,2,1,7,16,8,4,1,1,0,0
2022-03-13,Paris SG,Bordeaux,H,12,15,5,5,4,9,2,4,1,2,0,0
2022-03-13,Angers,Reims,A,20,10,7,3,19,8,4,2,6,3,1,1
2022-03-13,Clermont,Lorient,A,10,9,1,6,14,14,2,2,1,2,0,0
2022-03-13,Metz,Lens,D,6,11,3,0,11,14,5,4,5,2,0,0
2022-03-13,Strasbourg,Monaco,H,11,5,3,0,10,13,6,7,1,2,0,0
2022-03-13,Lyon,Rennes,A,11,10,2,7,8,12,8,2,2,3,0,0
2022-03-13,Brest,Marseille,A,8,13,2,7,11,14,1,3,1,4,0,0
2022-03-18,St Etienne,Troyes,D,10,8,3,4,13,9,1,4,2,2,0,0
2022-03-19,Lens,Clermont,H,20,10,7,3,15,12,7,2,1,1,0,0
2022-03-19,Nantes,Lille,A,11,12,3,4,19,15,7,7,3,4,0,1
2022-03-20,Bordeaux,Montpellier,A,32,7,10,2,18,7,11,4,3,0,0,2
2022-03-20,Lorient,Strasbourg,D,9,13,2,4,11,18,6,5,2,2,0,0
2022-03-20,Rennes,Metz,H,21,2,8,1,13,11,10,1,1,2,0,0
2022-03-20,Monaco,Paris SG,H,13,13,8,6,17,10,6,7,3,3,0,0
2022-03-20,Angers,Brest,H,9,16,3,2,11,9,6,11,2,1,0,0
2022-03-20,Marseille,Nice,H,13,9,6,3,12,11,3,2,2,2,0,0
2022-03-20,Reims,Lyon,D,5,10,2,2,12,13,7,3,0,3,0,0
2022-04-02,Nice,Rennes,D,10,13,3,4,12,12,7,11,2,1,0,0
2022-04-02,Lille,Bordeaux,D,22,2,6,0,13,15,7,2,2,4,0,1
2022-04-03,Metz,Monaco,A,17,14,4,4,6,9,3,6,0,0,0,0
2022-04-03,Clermont,Nantes,A,12,9,4,4,10,10,5,6,5,1,1,0
2022-04-03,Strasbourg,Lens,H,13,13,3,2,8,10,2,6,3,1,0,0
2022-04-03,Troyes,Reims,H,19,10,5,4,15,11,6,3,1,4,0,1
2022-04-03,Lyon,Angers,H,15,7,5,4,4,13,9,2,1,1,0,0
2022-04-03,Paris SG,Lorient,H,15,11,7,4,7,14,3,1,2,1,0,0
2022-04-03,Montpellier,Brest,A,9,12,3,6,16,14,7,5,2,4,0,0
2022-04-03,St Etienne,Marseille,A,5,15,2,9,14,12,2,9,2,1,0,0
2022-04-08,Lorient,St Etienne,H,18,13,12,4,18,18,2,3,2,5,0,1
2022-04-09,Clermont,Paris SG,A,10,17,4,10,8,7,2,5,1,1,0,0
2022-04-09,Reims,Rennes,A,15,14,7,8,15,7,2,6,2,0,0,0
2022-04-10,Monaco,Troyes,H,11,8,3,1,12,9,10,1,2,2,0,0
2022-04-10,Lens,Nice,H,6,16,3,6,8,15,1,7,2,4,1,2
2022-04-10,Marseille,Montpellier,H,11,6,5,2,12,13,0,8,0,2,0,1
2022-04-10,Bordeaux,Metz,H,12,9,7,2,15,15,5,6,3,2,0,0
2022-04-10,Angers,Lille,D,13,17,3,3,10,12,6,7,3,2,0,0
2022-04-10,Brest,Nantes,D,12,12,6,5,10,13,4,5,1,3,0,0
2022-04-10,Strasbourg,Lyon,D,15,13,4,3,19,14,5,3,3,1,0,0
2022-04-15,Rennes,Monaco,A,13,12,4,4,7,15,6,0,1,3,0,0
2022-04-16,Lille,Lens,A,17,11,5,7,12,9,13,7,3,2,0,0
2022-04-16,St Etienne,Brest,H,11,7,4,3,10,10,7,3,0,2,0,0
