Date,HomeTeam,AwayTeam,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2023-10-07,Dortmund,Union Berlin,H,12,12,7,6,7,15,4,6,1,1,0,0
2023-10-08,Leverkusen,FC Koln,H,21,7,10,3,9,7,11,4,3,0,0,0
2023-10-08,Bayern Munich,Freiburg,H,21,2,5,0,7,8,7,1,1,0,0,0
2023-10-08,Ein Frankfurt,Heidenheim,H,12,7,6,2,14,10,3,6,2,3,0,0
2023-10-20,Dortmund,Werder Bremen,H,22,6,5,1,5,10,10,4,1,5,0,0
2023-10-21,Darmstadt,RB Leipzig,A,16,10,3,7,16,12,6,0,6,3,0,0
2023-10-21,Freiburg,Bochum,H,15,13,5,5,11,16,5,2,3,4,0,0
2023-10-21,Hoffenheim,Ein Frankfurt,A,14,13,5,5,7,7,6,3,3,0,0,0
2023-10-21,Union Berlin,Stuttgart,A,10,10,2,5,12,12,4,2,2,1,0,0
2023-10-21,Wolfsburg,Leverkusen,A,18,13,7,6,15,14,4,3,3,5,0,0
2023-10-21,Mainz,Bayern Munich,A,14,12,3,5,12,10,2,7,3,2,0,0
2023-10-22,FC Koln,M'gladbach,H,21,5,8,2,13,10,8,3,0,2,0,1
2023-10-22,Heidenheim,Augsburg,A,16,9,5,6,11,11,6,5,3,2,0,0
2023-10-27,Bochum,Mainz,D,10,10,4,4,14,21,5,4,3,3,0,0
2023-10-28,RB Leipzig,FC Koln,H,24,6,13,1,8,13,11,1,2,4,0,1
2023-10-28,Werder Bremen,Union Berlin,H,9,7,3,2,12,14,3,3,1,4,0,1
2023-10-28,Stuttgart,Hoffenheim,A,23,7,10,5,13,11,6,0,2,1,0,0
2023-10-28,Augsburg,Wolfsburg,H,9,13,5,6,19,14,5,5,6,4,1,0
2023-10-28,M'gladbach,Heidenheim,H,11,8,6,3,5,18,6,4,0,3,0,0
2023-10-28,Bayern Munich,Darmstadt,H,28,10,16,4,15,13,7,1,1,2,1,2
2023-10-29,Ein Frankfurt,Dortmund,D,11,14,7,4,11,10,0,4,3,2,0,0
2023-10-29,Leverkusen,Freiburg,H,19,10,4,4,9,10,11,4,0,2,0,0
2023-11-03,Darmstadt,Bochum,A,15,9,4,4,7,16,11,2,2,5,1,0
2023-11-04,FC Koln,Augsburg,D,28,18,12,3,10,10,10,2,1,4,0,0
2023-11-04,Freiburg,M'gladbach,D,15,10,8,5,7,10,8,2,2,2,0,0
2023-11-04,Hoffenheim,Leverkusen,A,12,10,7,4,6,10,4,3,3,2,0,0
2023-11-04,Mainz,RB Leipzig,H,10,10,3,2,13,9,2,7,3,1,0,0
2023-11-04,Union Berlin,Ein Frankfurt,A,10,4,3,3,13,8,9,1,0,1,0,0
2023-11-04,Dortmund,Bayern Munich,A,15,14,1,8,14,6,3,2,3,2,0,0
2023-11-05,Wolfsburg,Werder Bremen,D,15,13,5,4,14,17,5,2,4,1,1,0
2023-11-05,Heidenheim,Stuttgart,H,19,14,2,2,7,13,9,6,2,2,0,0
2023-11-10,M'gladbach,Wolfsburg,H,16,12,8,4,7,12,8,5,1,3,0,0
2023-11-11,Stuttgart,Dortmund,H,22,5,10,1,13,16,6,1,2,3,0,0
2023-11-11,Bochum,FC Koln,D,25,10,9,6,14,19,3,3,4,1,0,0
2023-11-11,Bayern Munich,Heidenheim,H,18,7,8,2,8,8,7,2,1,0,0,0
2023-11-11,Darmstadt,Mainz,D,9,9,3,0,20,15,0,5,3,3,0,0
2023-11-11,Augsburg,Hoffenheim,D,11,12,6,6,9,11,3,5,1,2,0,0
2023-11-12,RB Leipzig,Freiburg,H,15,9,6,3,10,12,7,3,2,0,0,0
2023-11-12,Leverkusen,Union Berlin,H,19,2,10,2,8,5,10,1,0,1,0,0
2023-11-12,Werder Bremen,Ein Frankfurt,D,14,14,5,3,3,10,3,7,1,3,0,0
2023-11-24,FC Koln,Bayern Munich,A,6,19,2,5,6,4,3,12,0,1,0,0
2023-11-25,Dortmund,M'gladbach,H,20,10,13,3,11,11,5,4,1,2,0,0
2023-11-25,Freiburg,Darmstadt,D,16,7,3,1,15,15,11,2,2,0,0,0
2023-11-25,Union Berlin,Augsburg,D,16,11,6,2,10,15,3,4,2,2,0,0
2023-11-25,Werder Bremen,Leverkusen,A,2,13,1,4,15,4,1,6,3,1,0,0
2023-11-25,Ein Frankfurt,Stuttgart,A,14,11,1,5,14,8,4,2,0,1,0,0
2023-11-25,Wolfsburg,RB Leipzig,H,10,26,4,10,18,11,1,12,4,2,0,0
2023-11-26,Heidenheim,Bochum,D,9,9,3,2,14,7,6,5,4,3,0,0
2023-11-26,Hoffenheim,Mainz,D,15,15,6,6,9,14,4,5,4,4,0,0
2023-12-01,Darmstadt,FC Koln,A,11,11,1,6,12,12,1,6,1,3,0,0
2023-12-02,Bochum,Wolfsburg,H,19,15,9,6,14,13,6,6,6,2,0,0
2023-12-02,M'gladbach,Hoffenheim,H,9,17,3,5,12,14,6,3,2,2,0,0
2023-12-02,RB Leipzig,Heidenheim,H,23,7,8,1,13,16,5,3,2,2,0,0
2023-12-02,Stuttgart,Werder Bremen,H,17,11,6,3,7,9,6,7,1,0,0,0
2023-12-03,Augsburg,Ein Frankfurt,H,9,12,4,6,9,10,2,4,1,1,0,0
2023-12-03,Leverkusen,Dortmund,D,22,6,6,2,12,12,16,1,3,2,0,0
2023-12-03,Mainz,Freiburg,A,19,13,6,5,16,11,14,3,1,1,0,0
2023-12-08,Hoffenheim,Bochum,H,18,22,7,5,18,11,4,5,3,2,0,0
2023-12-09,Ein Frankfurt,Bayern Munich,H,14,17,6,6,8,7,1,9,1,2,0,0
2023-12-09,Heidenheim,Darmstadt,H,16,20,7,7,17,13,8,3,2,2,0,0
2023-12-09,Union Berlin,M'gladbach,H,16,13,6,4,9,8,6,7,1,3,0,0
2023-12-09,Werder Bremen,Augsburg,H,12,11,5,1,13,9,5,2,1,2,0,0
2023-12-09,Wolfsburg,Freiburg,A,10,4,3,1,11,16,5,3,1,4,0,0
2023-12-09,Dortmund,RB Leipzig,A,18,24,6,8,6,11,6,6,1,3,1,0
2023-12-10,Stuttgart,Leverkusen,D,22,20,12,6,8,7,8,8,1,1,0,0
2023-12-10,FC Koln,Mainz,D,7,13,3,5,10,10,1,7,2,4,0,0
2023-12-15,M'gladbach,Werder Bremen,D,15,10,4,5,10,12,4,3,4,2,0,0
2023-12-16,Bochum,Union Berlin,H,21,10,7,2,12,13,6,4,2,2,0,0
2023-12-16,Darmstadt,Wolfsburg,A,14,11,4,3,16,10,7,7,2,0,0,1
2023-12-16,Mainz,Heidenheim,A,16,5,4,2,9,20,8,1,3,3,0,0
2023-12-16,RB Leipzig,Hoffenheim,H,23,10,11,4,11,9,9,2,3,2,0,0
2023-12-16,Augsburg,Dortmund,D,20,24,4,6,13,4,4,7,2,1,0,0
2023-12-17,Freiburg,FC Koln,H,23,7,7,1,13,10,5,2,1,4,0,1
2023-12-17,Leverkusen,Ein Frankfurt,H,14,4,6,2,4,13,5,5,1,1,0,0
2023-12-17,Bayern Munich,Stuttgart,H,17,5,8,2,7,8,6,2,0,3,0,0
2023-12-19,Hoffenheim,Darmstadt,D,13,14,4,3,9,15,8,3,2,4,0,0
2023-12-19,Werder Bremen,RB Leipzig,D,11,18,3,9,15,9,1,4,4,2,0,0
2023-12-19,Dortmund,Mainz,D,21,11,8,6,11,14,6,1,0,4,0,0
2023-12-20,Union Berlin,FC Koln,H,12,15,8,7,10,7,4,5,0,0,0,0
2023-12-20,Ein Frankfurt,M'gladbach,H,15,7,7,2,11,14,8,2,1,6,0,1
2023-12-20,Heidenheim,Freiburg,H,14,10,3,4,20,12,7,4,3,4,0,0
2023-12-20,Leverkusen,Bochum,H,15,6,8,1,7,12,4,3,0,2,0,0
2023-12-20,Stuttgart,Augsburg,H,17,6,7,5,8,14,4,4,0,4,0,0
2023-12-20,Wolfsburg,Bayern Munich,A,5,20,4,7,14,12,0,6,4,2,0,0
2024-01-12,Bayern Munich,Hoffenheim,H,27,12,12,4,8,6,11,2,1,3,0,1
2024-01-13,Augsburg,Leverkusen,A,2,25,0,6,11,4,0,12,3,1,0,0
2024-01-13,FC Koln,Heidenheim,D,13,10,6,2,12,11,9,6,2,1,0,0
2024-01-13,Freiburg,Union Berlin,D,14,8,4,4,7,9,4,3,0,2,0,0
2024-01-13,Mainz,Wolfsburg,D,12,9,4,4,21,16,7,3,3,4,0,0
2024-01-13,RB Leipzig,Ein Frankfurt,A,26,5,7,1,7,16,15,4,0,2,0,0
2024-01-13,Darmstadt,Dortmund,A,10,17,2,8,10,13,3,4,1,3,0,0
