Date,HomeTeam,AwayTeam,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2021-12-06,Cagliari,Torino,D,15,8,2,3,12,24,5,2,2,4,0,0
2021-12-10,Genoa,Sampdoria,A,12,14,2,6,15,17,8,3,2,2,0,0
2021-12-11,Udinese,Milan,D,11,12,6,1,17,10,3,5,2,2,1,0
2021-12-11,Venezia,Juventus,D,13,20,4,6,20,10,3,11,4,2,0,0
2021-12-11,Fiorentina,Salernitana,H,17,11,9,6,9,11,1,3,1,1,0,0
2021-12-12,Torino,Bologna,H,16,8,7,5,16,18,5,0,2,4,0,0
2021-12-12,Verona,Atalanta,A,19,14,4,6,12,10,6,6,2,1,0,0
2021-12-12,Napoli,Empoli,A,30,12,6,5,8,11,10,3,0,1,0,0
2021-12-12,Sassuolo,Lazio,H,17,6,6,2,9,11,6,0,1,2,1,0
2021-12-12,Inter,Cagliari,H,24,5,15,2,9,13,9,0,1,2,0,0
2021-12-13,Roma,Spezia,H,12,8,6,2,13,7,9,4,4,1,1,0
2021-12-17,Lazio,Genoa,H,11,4,5,2,9,8,5,2,0,3,0,0
2021-12-17,Salernitana,Inter,A,10,23,2,8,10,10,3,10,1,2,0,0
2021-12-18,Cagliari,Udinese,A,5,10,2,5,12,14,4,2,4,2,1,0
2021-12-18,Atalanta,Roma,A,17,8,6,5,11,15,10,0,1,3,0,0
2021-12-18,Bologna,Juventus,A,11,11,3,7,7,19,8,4,1,1,0,0
2021-12-19,Fiorentina,Sassuolo,D,23,8,8,4,7,14,9,3,3,5,1,0
2021-12-19,Spezia,Empoli,D,9,22,2,6,20,9,3,5,3,2,0,0
2021-12-19,Sampdoria,Venezia,D,18,12,8,1,8,17,4,3,2,1,0,0
2021-12-19,Torino,Verona,H,8,8,1,2,15,7,5,3,1,2,0,1
2021-12-19,Milan,Napoli,A,12,11,2,2,14,18,5,5,0,2,0,0
2021-12-21,Genoa,Atalanta,D,1,17,0,3,13,15,3,8,2,1,0,0
2021-12-21,Juventus,Cagliari,H,15,6,4,1,16,12,7,1,0,3,0,0
2021-12-22,Verona,Fiorentina,D,7,11,2,1,15,5,3,8,2,1,0,0
2021-12-22,Roma,Sampdoria,D,15,10,4,2,6,8,10,2,0,3,0,0
2021-12-22,Empoli,Milan,A,16,18,5,8,18,10,7,3,1,2,0,0
2021-12-22,Venezia,Lazio,A,11,7,2,4,11,10,4,4,3,3,1,0
2021-12-22,Sassuolo,Bologna,A,13,9,5,5,13,12,5,5,1,3,0,0
2021-12-22,Inter,Torino,H,14,12,3,3,10,17,7,4,1,0,0,0
2021-12-22,Napoli,Spezia,A,25,8,7,0,14,12,10,5,2,3,0,0
2022-01-06,Sampdoria,Cagliari,A,4,15,1,7,12,17,0,5,1,3,1,0
2022-01-06,Lazio,Empoli,D,23,11,10,4,13,11,9,2,4,4,0,0
2022-01-06,Spezia,Verona,A,9,22,3,5,14,11,6,7,3,2,1,0
2022-01-06,Sassuolo,Genoa,D,28,4,7,1,8,11,7,4,3,0,0,0
2022-01-06,Milan,Roma,H,19,11,5,5,6,20,3,9,2,6,0,2
2022-01-06,Juventus,Napoli,D,22,16,5,4,8,11,4,3,2,1,0,0
2022-01-09,Verona,Salernitana,A,24,9,7,5,13,12,17,4,1,3,1,0
2022-01-09,Roma,Juventus,A,19,14,7,5,11,12,8,1,3,4,0,1
2022-01-09,Genoa,Spezia,A,15,17,2,9,17,16,7,4,3,3,0,0
2022-01-09,Inter,Lazio,H,17,5,6,2,11,14,4,3,1,4,0,0
2022-01-09,Napoli,Sampdoria,H,22,10,5,1,12,11,13,0,0,2,0,0
2022-01-09,Venezia,Milan,A,9,18,3,8,11,11,1,7,1,3,1,0
2022-01-09,Empoli,Sassuolo,A,15,25,4,14,10,15,5,5,2,3,1,0
2022-01-09,Udinese,Atalanta,A,8,21,4,7,9,12,2,5,2,2,0,0
2022-01-10,Torino,Fiorentina,H,9,10,6,3,16,12,1,5,2,2,0,0
2022-01-11,Cagliari,Bologna,H,13,9,4,3,12,15,5,5,3,2,0,0
2022-01-15,Sampdoria,Torino,A,11,20,3,12,13,14,3,10,0,2,0,0
2022-01-15,Salernitana,Lazio,A,6,15,1,8,11,16,3,7,2,3,0,0
2022-01-15,Juventus,Udinese,H,14,16,4,3,13,10,7,6,1,2,0,0
2022-01-16,Atalanta,Inter,D,12,11,6,3,12,9,6,4,2,2,0,0
2022-01-16,Sassuolo,Verona,A,13,21,5,6,6,18,9,7,2,4,0,0
2022-01-16,Venezia,Empoli,D,14,17,3,6,13,17,6,5,3,5,0,0
2022-01-16,Roma,Cagliari,H,15,8,7,2,13,17,1,1,3,4,0,0
2022-01-17,Fiorentina,Genoa,H,22,3,12,0,10,11,4,0,1,3,0,0
2022-01-17,Bologna,Napoli,A,12,14,5,5,9,10,1,4,3,1,0,0
2022-01-17,Milan,Spezia,A,25,10,8,6,11,17,10,1,2,5,0,0
2022-01-21,Verona,Bologna,H,14,8,6,2,21,9,7,2,2,4,0,0
2022-01-22,Genoa,Udinese,D,10,2,3,0,27,17,10,4,4,4,1,0
2022-01-22,Inter,Venezia,H,24,3,12,3,13,9,6,0,3,4,0,0
2022-01-22,Lazio,Atalanta,D,9,6,1,2,10,17,4,1,0,3,0,0
2022-01-23,Milan,Juventus,D,14,8,4,0,16,19,4,1,2,2,0,0
2022-01-23,Torino,Sassuolo,D,21,6,6,1,21,15,4,3,3,3,0,0
2022-01-23,Empoli,Roma,A,16,16,7,8,13,14,2,3,2,2,0,0
2022-01-23,Napoli,Salernitana,H,26,1,14,1,9,14,10,0,0,4,0,1
2022-01-23,Cagliari,Fiorentina,D,12,16,3,6,21,16,6,4,3,3,0,1
2022-01-23,Spezia,Sampdoria,H,7,8,2,0,24,12,2,4,2,4,0,1
2022-02-05,Roma,Genoa,D,23,10,3,3,8,23,6,4,3,2,1,1
2022-02-05,Inter,Milan,A,11,10,5,3,20,14,6,4,2,4,0,1
2022-02-05,Fiorentina,Lazio,A,9,12,3,7,13,15,4,3,3,5,1,0
2022-02-06,Udinese,Torino,H,11,5,3,1,12,21,8,3,3,5,0,1
2022-02-06,Atalanta,Cagliari,A,10,7,3,4,13,14,3,1,1,5,1,0
2022-02-06,Bologna,Empoli,D,12,15,2,4,9,16,3,5,2,4,0,0
2022-02-06,Sampdoria,Sassuolo,H,11,26,7,9,15,16,3,9,2,2,0,0
2022-02-06,Venezia,Napoli,A,7,16,3,6,12,11,2,6,2,2,1,0
2022-02-06,Juventus,Verona,H,11,13,8,1,11,11,6,5,1,1,0,0
2022-02-07,Salernitana,Spezia,D,9,13,5,2,12,19,5,6,3,3,0,0
2022-02-12,Torino,Venezia,A,14,5,2,2,14,12,8,4,2,3,0,1
2022-02-12,Lazio,Bologna,H,12,11,6,3,13,16,5,3,2,2,0,0
2022-02-12,Napoli,Inter,D,13,8,4,2,8,13,4,2,1,1,0,0
2022-02-13,Milan,Sampdoria,H,15,4,7,1,13,11,4,0,3,1,0,0
2022-02-13,Empoli,Cagliari,D,13,17,4,5,14,13,6,4,1,2,0,0
2022-02-13,Genoa,Salernitana,D,15,12,5,4,17,10,5,4,3,2,0,0
2022-02-13,Verona,Udinese,H,6,21,5,7,18,7,2,7,3,1,0,0
2022-02-13,Sassuolo,Roma,D,12,12,3,7,13,13,4,3,4,2,1,0
2022-02-13,Atalanta,Juventus,D,21,15,3,6,13,9,8,8,2,3,0,0
2022-02-14,Spezia,Fiorentina,A,9,21,1,4,17,10,4,8,2,1,0,0
2022-02-18,Juventus,Torino,D,11,10,3,3,16,19,7,9,1,2,0,0
2022-02-19,Salernitana,Milan,D,9,14,5,5,14,12,4,7,2,4,0,0
2022-02-19,Roma,Verona,D,7,5,3,3,18,14,4,2,3,2,0,0
2022-02-19,Sampdoria,Empoli,H,8,10,3,2,15,12,3,6,4,2,0,0
2022-02-20,Fiorentina,Atalanta,H,6,7,3,1,17,20,2,1,2,5,0,0
2022-02-20,Venezia,Genoa,D,15,12,4,3,14,15,6,5,2,2,0,0
2022-02-20,Inter,Sassuolo,A,29,13,8,5,12,12,8,3,1,2,0,0
2022-02-20,Udinese,Lazio,D,12,10,2,2,22,9,2,12,3,2,0,0
2022-02-21,Cagliari,Napoli,D,13,7,5,3,17,22,3,6,1,2,0,0
2022-02-21,Bologna,Spezia,H,19,6,7,2,7,13,11,0,1,1,0,0
2022-02-25,Milan,Udinese,D,9,11,3,6,13,17,5,4,2,4,0,0
2022-02-25,Genoa,Inter,D,7,21,1,4,11,9,0,14,2,1,0,0
2022-02-26,Sassuolo,Fiorentina,H,16,15,6,6,12,12,6,10,1,1,0,1
2022-02-26,Empoli,Juventus,A,11,12,2,5,16,8,7,3,2,0,0,0
2022-02-26,Salernitana,Bologna,D,15,8,4,3,13,25,6,1,2,3,0,0
2022-02-27,Torino,Cagliari,A,15,11,6,5,16,20,4,3,2,4,0,0
2022-02-27,Verona,Venezia,H,19,9,11,4,13,10,5,5,0,1,0,0
2022-02-27,Spezia,Roma,A,9,31,3,10,13,11,1,8,5,3,1,0
2022-02-27,Lazio,Napoli,A,13,15,8,7,13,14,1,5,3,2,0,0
2022-02-28,Atalanta,Sampdoria,H,19,6,9,1,16,9,8,1,1,2,0,0
2022-03-04,Inter,Salernitana,H,23,11,12,3,11,7,10,3,2,1,0,0
2022-03-05,Udinese,Sampdoria,H,19,8,5,4,20,14,11,4,5,2,0,0
2022-03-05,Roma,Atalanta,H,13,7,4,4,18,14,6,3,6,4,1,1
2022-03-05,Cagliari,Lazio,A,16,13,3,5,10,13,7,6,3,2,0,1
2022-03-06,Napoli,Milan,A,9,12,2,7,7,15,6,7,4,4,0,0
2022-03-06,Juventus,Spezia,H,10,9,3,4,14,11,4,4,3,2,0,0
2022-03-06,Venezia,Sassuolo,A,16,16,5,10,18,14,8,6,4,1,0,0
2022-03-06,Genoa,Empoli,D,18,8,7,2,15,19,7,2,4,3,0,0
2022-03-06,Bologna,Torino,D,6,13,1,2,23,16,5,7,3,3,0,0
2022-03-06,Fiorentina,Verona,D,8,2,2,2,15,15,4,2,0,4,0,0
2022-03-12,Sampdoria,Juventus,A,16,6,5,3,7,15,9,0,0,2,0,0
2022-03-12,Salernitana,Sassuolo,D,15,20,5,7,13,15,5,5,2,4,0,1
2022-03-12,Spezia,Cagliari,H,12,11,7,1,10,17,8,7,1,4,0,0
2022-03-12,Milan,Empoli,H,15,5,5,2,6,12,5,4,1,0,0,0
2022-03-13,Udinese,Roma,D,11,10,5,2,16,12,6,4,3,2,0,0
2022-03-13,Atalanta,Genoa,D,11,13,2,3,13,17,4,3,2,0,0,0
2022-03-13,Torino,Inter,D,13,15,4,7,15,17,3,4,1,5,0,0
2022-03-13,Fiorentina,Bologna,H,14,4,5,0,9,16,9,1,1,5,0,1
2022-03-13,Verona,Napoli,A,8,13,1,4,19,9,3,5,6,0,2,0
2022-03-14,Lazio,Venezia,H,10,7,1,2,11,13,8,4,1,1,0,0
2022-03-18,Sassuolo,Spezia,H,16,5,7,1,14,16,6,2,2,3,0,0
2022-03-18,Genoa,Torino,H,7,9,2,3,12,17,2,3,3,3,1,0
2022-03-19,Napoli,Udinese,H,20,10,8,3,10,12,7,4,2,2,0,1
2022-03-19,Inter,Fiorentina,D,13,17,5,4,14,12,5,3,1,2,0,0
2022-03-19,Cagliari,Milan,A,13,21,1,5,13,14,6,5,1,0,0,0
2022-03-20,Bologna,Atalanta,A,12,15,3,2,9,12,6,3,0,1,0,0
2022-03-20,Roma,Lazio,H,11,9,5,3,16,12,6,3,4,3,0,0
2022-03-20,Juventus,Salernitana,H,12,12,7,4,10,13,5,5,3,2,0,0
2022-03-20,Empoli,Verona,D,7,14,2,4,17,13,3,7,2,3,0,0
2022-03-20,Venezia,Sampdoria,A,13,8,1,4,28,17,3,4,5,1,1,0
2022-04-02,Spezia,Venezia,H,11,13,5,2,15,12,5,2,3,1,0,0
2022-04-02,Lazio,Sassuolo,H,14,20,5,5,11,8,4,3,1,3,0,0
2022-04-02,Salernitana,Torino,A,14,8,3,5,15,21,9,2,5,4,1,0
2022-04-03,Fiorentina,Empoli,H,24,5,11,1,10,20,5,0,1,3,0,1
2022-04-03,Atalanta,Napoli,A,19,6,3,5,15,11,9,1,2,3,0,0
2022-04-03,Udinese,Cagliari,H,24,6,11,3,19,15,2,2,2,4,0,1
2022-04-03,Sampdoria,Roma,A,8,6,3,1,15,13,4,4,2,3,0,0
2022-04-03,Juventus,Inter,A,23,5,5,1,9,19,8,1,4,4,0,0
2022-04-04,Milan,Bologna,D,33,8,7,4,10,7,9,2,0,2,0,0
2022-04-04,Verona,Genoa,H,7,7,3,4,16,15,2,5,4,3,0,0
2022-04-09,Empoli,Spezia,D,15,11,4,5,11,18,5,4,2,2,0,0
2022-04-09,Inter,Verona,H,18,9,6,3,10,7,10,2,2,0,0,0
2022-04-09,Cagliari,Juventus,A,4,20,1,6,19,10,1,4,1,0,0,0
2022-04-10,Genoa,Lazio,A,15,17,4,11,7,8,3,6,0,1,0,0
2022-04-10,Napoli,Fiorentina,A,15,11,3,4,10,17,3,2,0,3,0,0
2022-04-10,Sassuolo,Atalanta,H,14,15,7,4,18,14,8,8,2,1,0,0
2022-04-10,Venezia,Udinese,A,9,16,4,5,15,11,7,11,7,2,0,0
2022-04-10,Roma,Salernitana,H,17,6,7,3,16,23,9,2,5,8,0,0
2022-04-10,Torino,Milan,D,14,14,3,3,18,6,6,5,2,2,0,0
2022-04-11,Bologna,Sampdoria,H,19,9,4,2,11,11,6,0,1,2,0,0
2022-04-15,Milan,Genoa,H,10,7,5,1,10,19,3,1,1,2,0,0
2022-04-15,Spezia,Inter,A,10,23,2,7,9,11,6,7,2,0,0,0
